divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
divide,100,5
add,10,20
subtract,100,50
multiply,10,6
